gene_id,gene_symbol,gene_entrez,gene_desc,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,HOS_D2_1_S4_L001,HOS_D2_2_S5_L001,HOS_D2_3_S6_L001,HOS_D3_1_S7_L001,HOS_D3_2_S8_L001,HOS_D3_3_S9_L001
ENSG00000041982,TNC,3371,tenascin C,44084.44403297033,0.4009866452539909,0.02269725234755567,17.66674834089221,7.563270844251864e-70,4.819316181957287e-66,46778,50562,46661,38702,44829,36462
ENSG00000167996,FTH1,2495,ferritin heavy chain 1,80529.42883525624,0.28259192611595163,0.020339641180366772,13.893653462713438,6.921290987356321e-44,2.9401644114289653e-40,80837,91855,81300,76678,84144,68574
ENSG00000168542,COL3A1,1281,collagen type III alpha 1 chain,17623.932048616778,-0.31818813245419764,0.02385207208120877,-13.34006250571722,1.3534600635950627e-40,4.31212376261387e-37,14196,16023,14841,20555,22793,18420
ENSG00000197956,S100A6,6277,S100 calcium binding protein A6,18527.24196341623,-0.3232587039782964,0.02490931375890282,-12.977423107963412,1.6431640053727685e-38,4.188096416894113e-35,14666,17195,15461,21580,24693,18899
ENSG00000169245,CXCL10,3627,C-X-C motif chemokine ligand 10,52528.66820492252,0.3070571354923575,0.024271842323490566,12.650755200201022,1.1080457336042622e-36,2.353489138175453e-33,51155,61445,54514,47713,57435,43559
ENSG00000169248,CXCL11,6373,C-X-C motif chemokine ligand 11,13215.84179004564,0.33991626049711365,0.02730354585578277,12.449528068352372,1.406745004653841e-35,2.5610797627583647e-32,13213,15006,14192,11860,13970,11051
ENSG00000101335,MYL9,10398,myosin light chain 9,10071.745507613134,-0.3496974479429282,0.028591791778906132,-12.230693712624223,2.131108039910755e-34,3.3948551075778323e-31,7948,9310,8205,11727,13302,10634
ENSG00000090339,ICAM1,3383,intercellular adhesion molecule 1,21611.21354868439,0.26516191680492124,0.022188293166625687,11.950532418769464,6.451062342778414e-33,9.134704277374234e-30,21040,24640,22137,20148,23201,18671
ENSG00000197747,S100A10,6281,S100 calcium binding protein A10,14794.348506170858,-0.3057590304837256,0.026388556434487127,-11.586803970986834,4.807378049738814e-31,6.1265225865871456e-28,11823,13790,12420,17225,18982,15435
ENSG00000111057,KRT18,3875,keratin 18,14894.355526744257,-0.2943243425070535,0.025426323423563813,-11.575576130455763,5.480186485026414e-31,6.349045142288783e-28,12156,13738,12545,17346,19423,15117
ENSG00000121060,TRIM25,7706,tripartite motif containing 25,21895.111573437902,0.22677847752470168,0.020002895918475795,11.337282283973511,8.576670666737241e-30,9.10842424807495e-27,21468,24152,22204,20899,23983,18905
ENSG00000118523,CCN2,1490,cellular communication network factor 2,13209.838835754621,-0.29963388402808805,0.02663193593131316,-11.25092388329855,2.291788019741996e-29,2.246657424891692e-26,10703,11933,11370,15080,17411,13604
ENSG00000106333,PCOLCE,5118,procollagen C-endopeptidase enhancer,6889.077556715065,-0.3579135140227542,0.03210166405302534,-11.149375728048076,7.211049376163943e-29,6.56411523213095e-26,5428,6275,5653,7928,9257,7286
ENSG00000162692,VCAM1,7412,vascular cell adhesion molecule 1,1308.3596410791988,0.8210011427263305,0.07438401400401072,11.037333138301234,2.5241383495656495e-28,2.144507941790976e-25,1426,1766,1615,957,1126,906
ENSG00000149591,TAGLN,6876,transgelin,16878.14977881538,-0.28569748984463983,0.026677041773819746,-10.709489165512233,9.186732369557521e-27,7.317232332352565e-24,13931,15136,14590,19360,21897,17347
ENSG00000023445,BIRC3,330,baculoviral IAP repeat containing 3,3973.137282429578,0.45708498663494523,0.04273640226094437,10.69544843396101,1.069012854131091e-26,8.013823419439191e-24,4084,4729,4396,3417,3937,3221
ENSG00000100650,SRSF5,6430,serine and arginine rich splicing factor 5,8704.919383869928,-0.32357551641629156,0.03133840294390228,-10.325207605362412,5.420142465186867e-25,3.837460865352302e-22,6988,7955,7274,9712,11681,9208
ENSG00000108821,COL1A1,1277,collagen type I alpha 1 chain,49870.597976919555,-0.20453881888367784,0.019901723331087515,-10.277442585294997,8.905938982741074e-25,5.973541389265907e-22,42393,47152,43526,55427,61972,51118
ENSG00000072274,TFRC,7037,transferrin receptor,4795.1202171724035,0.3938455056495679,0.03837480198624717,10.263128023193838,1.0330508641241337e-24,6.58260010619898e-22,4850,5616,5183,4341,4907,3855
ENSG00000196878,LAMB3,3914,laminin subunit beta 3,3194.684356611527,0.5557105992039418,0.05591434982049318,9.938604329442962,2.8276091498398215e-23,1.715954809788509e-20,3574,3743,3586,2750,2877,2518
ENSG00000254772,EEF1G,1937,eukaryotic translation elongation factor 1 gamma,40986.11984497405,-0.17259070874245835,0.01756646370464246,-9.825011547249895,8.786396109127487e-23,5.0897196370327586e-20,34942,39893,35902,44362,51990,40979
ENSG00000130589,HELZ2,85441,helicase with zinc finger 2,24829.3822090007,0.24449217533682902,0.025067374460641483,9.753401806029125,1.783882249021028e-22,9.884258861532167e-20,25123,27310,24868,23407,26516,21821
ENSG00000118503,TNFAIP3,7128,TNF alpha induced protein 3,2529.6743750879205,0.552987225251949,0.06192701935662503,8.929659960984216,4.2732021727906497e-19,2.269070353751835e-16,2692,3117,2837,1940,2490,2048
ENSG00000234127,TRIM26,7726,tripartite motif containing 26,3397.5074771201225,0.4429672228464687,0.050151843758382476,8.832521192651672,1.0234232526095229e-18,5.217002372502304e-16,3463,3989,3795,2835,3479,2789
