gene_id,gene_symbol,gene_entrez,gene_desc,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,HOS_D3_1_S7_L001,HOS_D3_2_S8_L001,HOS_D3_3_S9_L001,HOS_Media_1_S10_L001,HOS_Media_2_S11_L001
ENSG00000002549,LAP3,51056,leucine aminopeptidase 3,10727.059675750146,4.34922417955257,0.05419722206373983,80.24810154360992,0,0,19211,21448,17235,662,806
ENSG00000006327,TNFRSF12A,51330,TNF receptor superfamily member 12A,3949.8030666221885,2.171522441964089,0.05291478618263836,41.038102931550306,0,0,6339,7178,5672,1064,1134
ENSG00000008517,IL32,9235,interleukin 32,9049.301731628739,5.190718158165337,0.06824818981092041,76.05649574803475,0,0,16117,19157,14396,361,339
ENSG00000008988,RPS20,6224,ribosomal protein S20,25186.923119359715,-1.143692599346243,0.028746166835918095,-39.785916705847846,0,0,18929,21247,16641,30833,33964
ENSG00000023445,BIRC3,330,baculoviral IAP repeat containing 3,1987.4235802915482,3.8239700596767725,0.09852275101607161,38.813066223181124,0,0,3417,3937,3221,173,213
ENSG00000025708,TYMP,1890,thymidine phosphorylase,4107.551403520247,4.07975759166882,0.07942169845258062,51.3682994843616,0,0,7402,7952,6636,307,366
ENSG00000026025,VIM,7431,vimentin,84580.02141615136,-0.9785306563541247,0.017066133110968384,-57.337573191974236,0,0,66782,76469,60627,100998,106262
ENSG00000034510,TMSB10,9168,thymosin beta 10,24241.345894719154,-1.0969627013140804,0.023321535468303557,-47.03646991018105,0,0,18075,21255,16451,29579,31949
ENSG00000035403,VCL,7414,vinculin,14832.669234848632,-1.661212970405302,0.029175303822292373,-56.93901186166899,0,0,8737,9953,7917,21288,22125
ENSG00000041982,TNC,3371,tenascin C,23135.390932245118,3.163169521333566,0.03689815035510803,85.72704839920708,0,0,38702,44829,36462,3218,3706
ENSG00000055332,EIF2AK2,5610,eukaryotic translation initiation factor 2 alpha kinase 2,16719.94582621713,1.8909177202842216,0.0279520628004725,67.64859301375988,0,0,25766,29441,23780,5300,5698
ENSG00000058668,ATP2B4,493,ATPase plasma membrane Ca2+ transporting 4,4440.113437939334,-2.769664915524683,0.054142333906750446,-51.15525533669988,0,0,1446,1626,1384,7714,7987
ENSG00000059378,PARP12,64761,poly(ADP-ribose) polymerase family member 12,3621.5376378632504,2.4532144588999696,0.06268793994484594,39.13375461146682,0,0,5693,6955,5381,841,855
