gene_id,gene_symbol,gene_entrez,gene_desc,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,OS_17_D2_1_S15_L001,OS_17_D2_2_S16_L001,OS_17_D2_3_S17_L001,OS_17_D3_1_S18_L001,OS_17_D3_2_S19_L001,OS_17_D3_3_S20_L001
ENSG00000137745,MMP13,4322,matrix metallopeptidase 13,8347.823327551867,1.2997271384584406,0.05014643980786981,25.918632378254415,4.106639404901062e-148,4.579313600405174e-144,12808,12452,11027,5272,4684,4385
ENSG00000138755,CXCL9,4283,C-X-C motif chemokine ligand 9,42142.4990194702,0.8219949953431663,0.03594726762098828,22.866689173984224,9.9717680825437085e-116,5.559759294422245e-112,58540,56222,49799,32406,30845,27310
ENSG00000169245,CXCL10,3627,C-X-C motif chemokine ligand 10,31824.54767613837,0.8736963378435717,0.040228142504930425,21.71853541924015,1.370797905416654e-104,5.0952558144337026e-101,44391,43094,38363,23513,23916,19474
ENSG00000136244,IL6,3569,interleukin 6,6159.855185657274,1.2247669883264058,0.06328714724687162,19.352539047917787,1.940433596512626e-83,5.4094437586780734e-80,9914,8682,7809,4100,3575,3311
ENSG00000120738,EGR1,1958,early growth response 1,5598.508231957942,-1.0496220999090988,0.054888512841501716,-19.122800847966676,1.6310883436817096e-81,3.6376532240789486e-78,3794,3603,3734,7536,7862,7003
ENSG00000168542,COL3A1,1281,collagen type III alpha 1 chain,6410.885571973377,-0.9696511551193568,0.05137026816955592,-18.8757269461562,1.8062142149449273e-79,3.3568491184751476e-76,4864,4168,4218,8915,8876,7466
ENSG00000169248,CXCL11,6373,C-X-C motif chemokine ligand 11,9664.98020445732,0.9237971871981093,0.05293495582550159,17.451553001071307,3.3499932127641022e-68,5.336539187933215e-65,13767,13274,11656,7203,7078,5613
ENSG00000118503,TNFAIP3,7128,TNF alpha induced protein 3,17320.786002506,0.5331281564035787,0.03330799741321196,16.00601050221374,1.1601422194960559e-57,1.617093236200065e-54,22188,20591,19816,14968,14730,12432
ENSG00000130635,COL5A1,1289,collagen type V alpha 1 chain,41275.120252449415,-0.5245932496574914,0.0333321596370325,-15.738351651078164,8.256656650527105e-56,1.0229997590003083e-52,34504,33956,34822,51116,50281,43427
ENSG00000095752,IL11,3589,interleukin 11,16983.742613509934,0.6133873405803147,0.03981184987186928,15.407154969046768,1.4652198060299998e-53,1.6338666057040528e-50,21989,19999,20739,14455,13022,12412
ENSG00000109971,HSPA8,3312,heat shock protein family A (Hsp70) member 8,11294.004037249726,0.5366205866713527,0.035212612604713596,15.239442545638324,1.935143488147286e-52,1.96170773057549e-49,14260,13417,13160,9865,9163,8373
ENSG00000104368,PLAT,5327,"plasminogen activator, tissue type",8529.482843013966,0.6244015223358612,0.04134616593312759,15.101799846345001,1.5757281575663868e-51,1.379250726008252e-48,11036,10122,10439,7243,6706,6016
ENSG00000177606,JUN,3725,"Jun proto-oncogene, AP-1 transcription factor subunit",13283.526768265368,-0.5106230226959207,0.03381505256347632,-15.100465147507869,1.607950806035986e-51,1.379250726008252e-48,11633,10891,10935,16265,16007,14121
ENSG00000100234,TIMP3,7078,TIMP metallopeptidase inhibitor 3,6320.796594416356,-0.8146704640487099,0.05422518010779285,-15.023840629560793,5.12501844507785e-51,4.082077191504508e-48,4933,4333,4725,8376,8011,7533
ENSG00000023445,BIRC3,330,baculoviral IAP repeat containing 3,9893.989357931121,0.5898682202166078,0.03984208070874185,14.8051559989733,1.3567190630697663e-49,1.0085849514860643e-46,12956,12095,11285,8292,8135,7063
