gene_id,gene_symbol,gene_entrez,gene_desc,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,OS_17_D1_1_S12_L001,OS_17_D1_2_S13_L001,OS_17_D1_3_S14_L001,OS_17_D2_1_S15_L001,OS_17_D2_2_S16_L001,OS_17_D2_3_S17_L001
ENSG00000169245,CXCL10,3627,C-X-C motif chemokine ligand 10,29271.377644572207,-1.2034707965372524,0.05739700687901428,-20.967483532268826,1.2995852496813579e-97,1.517005861953049e-93,16690,18898,16600,44391,43094,38363
ENSG00000138755,CXCL9,4283,C-X-C motif chemokine ligand 9,38830.16670371467,-1.13509352592395,0.05996801810858312,-18.928314820554093,6.666095341563724e-80,3.890666546103667e-76,22579,25577,23347,58540,56222,49799
ENSG00000169248,CXCL11,6373,C-X-C motif chemokine ligand 11,8819.494120456433,-1.301349297993999,0.07237332446663589,-17.98106287896062,2.7418577640077767e-72,1.0668568559754259e-68,4717,5648,4647,13767,13274,11656
ENSG00000137745,MMP13,4322,matrix metallopeptidase 13,8344.7085499204,-1.2581936097588255,0.08652355434401858,-14.541631111873123,6.60010373733459e-48,1.9260752731476667e-44,5131,5142,4208,12808,12452,11027
ENSG00000136244,IL6,3569,interleukin 6,6530.18509886008,-0.9239384846312003,0.07944986028947365,-11.629202131568926,2.928216870489643e-31,6.83621510584512e-28,4168,4862,4248,9914,8682,7809
ENSG00000119922,IFIT2,3433,interferon induced protein with tetratricopeptide repeats 2,22557.929719902648,-0.7109486183287657,0.07090089639204186,-10.027357262137023,1.155683916003045e-23,2.248383058583924e-20,16503,18699,15226,29896,30321,26109
ENSG00000168542,COL3A1,1281,collagen type III alpha 1 chain,5619.156812761852,0.6921670050850982,0.07049870828445402,9.818151593533962,9.405220407857987e-23,1.5683876831560897e-19,6766,7051,6589,4864,4168,4218
ENSG00000132024,CC2D1A,54862,coiled-coil and C2 domain containing 1A,299.64675970435616,1.8885942230001058,0.19838142458158606,9.520015429788414,1.7315335004911448e-21,2.5265238189041416e-18,429,508,453,160,127,107
ENSG00000118503,TNFAIP3,7128,TNF alpha induced protein 3,17436.243343695296,-0.4795420509782585,0.050600579262356345,-9.4770071404105,2.6168069040102445e-21,3.393998554501287e-18,14117,15068,13656,22188,20591,19816
ENSG00000134321,RSAD2,91543,radical S-adenosyl methionine domain containing 2,22544.210575880286,-0.5594474608104532,0.06287032086205767,-8.898434955309423,5.663966671342554e-19,6.611548295458163e-16,16596,19920,17197,28884,28509,25404
ENSG00000198712,COX2,4513,cytochrome c oxidase subunit II,31759.93316522617,0.9159207417798995,0.10373340438014692,8.829564085483668,1.0508446273011113e-18,1.1151372122259885e-15,42671,36095,42656,23258,22925,21598
ENSG00000104368,PLAT,5327,"plasminogen activator, tissue type",8811.267467896585,-0.47787601766525484,0.05618232084550471,-8.505807707363354,1.8033564730476115e-17,1.754215009157064e-14,6928,7818,6936,11036,10122,10439
