gene_id,gene_symbol,gene_entrez,gene_desc,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,HOS_D1_1_S1_L001,HOS_D1_2_S2_L001,HOS_D1_3_S3_L001,HOS_Media_1_S10_L001,HOS_Media_2_S11_L001
ENSG00000002549,LAP3,51056,leucine aminopeptidase 3,10085.218172785393,4.258497704947279,0.052853644038449436,80.57150613587496,0,0,18877,17001,18198,662,806
ENSG00000008517,IL32,9235,interleukin 32,8161.391992622648,5.039961434262102,0.06870782391080389,73.35353017154132,0,0,15247,14003,15114,361,339
ENSG00000008988,RPS20,6224,ribosomal protein S20,24802.44867832827,-1.1958620128527444,0.024241747374191002,-49.330685383097425,0,0,19412,17092,17976,30833,33964
ENSG00000025708,TYMP,1890,thymidine phosphorylase,4168.99461755432,4.103710636877308,0.07856793215410397,52.2313687577808,0,0,8154,6725,7428,307,366
ENSG00000026025,VIM,7431,vimentin,82411.89989100095,-1.0634790626626907,0.021125525231106303,-50.34095252205942,0,0,67038,59411,64661,100998,106262
ENSG00000034510,TMSB10,9168,thymosin beta 10,23242.90973565795,-1.2457124594605586,0.029777070336348216,-41.8346212501619,0,0,17160,15794,16994,29579,31949
ENSG00000035403,VCL,7414,vinculin,14605.551057547158,-1.7270048088401517,0.02886913053234217,-59.82185043312556,0,0,8976,7851,8455,21288,22125
ENSG00000041982,TNC,3371,tenascin C,23075.394871918517,3.1604979066566754,0.034029899841859265,92.87414659883989,0,0,41812,37453,39901,3218,3706
ENSG00000055332,EIF2AK2,5610,eukaryotic translation initiation factor 2 alpha kinase 2,15360.075728945585,1.747027634051872,0.03518316224153713,49.65521922271492,0,0,24325,22780,23945,5300,5698
ENSG00000058668,ATP2B4,493,ATPase plasma membrane Ca2+ transporting 4,4485.467917848907,-2.6820303155985776,0.05302472016238663,-50.58075379530414,0,0,1603,1484,1626,7714,7987
ENSG00000059378,PARP12,64761,poly(ADP-ribose) polymerase family member 12,3651.707908899725,2.4681780462776204,0.060686919000630925,40.6706764311426,0,0,6565,5541,5999,841,855
ENSG00000060718,COL11A1,1301,collagen type XI alpha 1 chain,15631.56301731674,-2.2032872908849668,0.048677516503070666,-45.262935522727,0,0,7161,7124,6987,25154,25757
ENSG00000063046,EIF4B,1975,eukaryotic translation initiation factor 4B,12838.567264401574,-2.1757427832857217,0.042420427283651634,-51.28997802726587,0,0,6151,5427,6182,19821,21849
ENSG00000065060,BLTP3A,54887,bridge-like lipid transfer protein family member 3A,9129.293900924355,1.6613952447248195,0.04054274267808062,40.97885675660149,0,0,14749,13142,13957,3198,3675
ENSG00000065911,MTHFD2,10797,"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase",13988.00549712709,1.3395892809068268,0.02675404998882037,50.070523209256045,0,0,21596,19342,20500,6072,6531
ENSG00000067066,SP100,6672,SP100 nuclear antigen,14077.191755194288,3.082022208090951,0.03384724578512144,91.0568093976422,0,0,25821,22644,23979,2190,2248
ENSG00000068079,IFI35,3430,interferon induced protein 35,5559.552400623924,5.0524085446652025,0.09216026436979494,54.821984064545546,0,0,11033,9143,10114,194,280
ENSG00000070669,ASNS,440,asparagine synthetase (glutamine-hydrolyzing),10699.893311227948,1.9705753142006446,0.046216483928796764,42.63793232814083,0,0,17678,16003,17054,3088,3642
ENSG00000075618,FSCN1,6624,fascin actin-bundling protein 1,7833.55859310027,-2.216232475881825,0.037272743529352406,-59.459869760768605,0,0,3729,3355,3523,12601,12972
ENSG00000077150,NFKB2,4791,nuclear factor kappa B subunit 2,5131.360276335006,2.767131427874899,0.055776379280528816,49.61116988174396,0,0,9123,7981,8842,924,1055
ENSG00000087074,PPP1R15A,23645,protein phosphatase 1 regulatory subunit 15A,10237.468178098792,2.8946344947731717,0.06046353132245858,47.87405617008658,0,0,17909,16185,18025,1879,1754
